('http://movie.mtime.com/195062/', '星际迷航3：超越星辰')
('http://movie.mtime.com/216495/', '师父')
('http://movie.mtime.com/221331/', '蒸发太平洋')
('http://movie.mtime.com/172743/', '魔警')
('http://movie.mtime.com/225337/', '三生三世十里桃花')
('http://movie.mtime.com/226894/', '金刚：骷髅岛')
('http://movie.mtime.com/216154/', '一路惊喜')
('http://movie.mtime.com/81231/', '气喘吁吁')
('http://movie.mtime.com/49135/', '黄石的孩子')
('http://movie.mtime.com/59160/', '红河')
('http://movie.mtime.com/10293/', '不见不散')
('http://movie.mtime.com/164692/', '太极2英雄崛起')
('http://movie.mtime.com/216896/', '横冲直撞好莱坞')
('http://movie.mtime.com/184453/', '白狐')
('http://movie.mtime.com/225457/', '汽车人总动员')
('http://movie.mtime.com/199602/', '绝地逃亡')
('http://movie.mtime.com/130681/', '财神客栈')
('http://movie.mtime.com/11852/', '蜀山传')
('http://movie.mtime.com/122847/', '杨门女将之军令如山')
('http://movie.mtime.com/209698/', '蜜月酒店杀人事件')
('http://movie.mtime.com/115292/', '刀见笑')
('http://movie.mtime.com/219178/', '从你的全世界路过')
('http://movie.mtime.com/205173/', '黄飞鸿之英雄有梦')
('http://movie.mtime.com/170118/', '逃出生天')
('http://movie.mtime.com/208618/', '十二公民')
('http://movie.mtime.com/94196/', '寻找成龙')
('http://movie.mtime.com/116568/', '财神到')
('http://movie.mtime.com/208281/', '消失的凶手')
('http://movie.mtime.com/134506/', '全球热恋')
('http://movie.mtime.com/168289/', '史前怪兽')
('http://movie.mtime.com/112073/', '三笑之才子佳人')
('http://movie.mtime.com/203064/', '微爱之渐入佳境')
('http://movie.mtime.com/11133/', '蓝宇')
('http://movie.mtime.com/221410/', '我是证人')
('http://movie.mtime.com/10808/', '红高粱')
('http://movie.mtime.com/181102/', '爱神')
('http://movie.mtime.com/228267/', '绣春刀II修罗战场')
('http://movie.mtime.com/125805/', '极限特工：终极回归')
('http://movie.mtime.com/12514/', '有话好好说')
('http://movie.mtime.com/207207/', '我是路人甲')
('http://movie.mtime.com/218643/', '新步步惊心')
('http://movie.mtime.com/162309/', 'HOLD住爱')
('http://movie.mtime.com/154373/', '无问西东')
('http://movie.mtime.com/203481/', '咏春小龙')
('http://movie.mtime.com/217668/', '蜡笔总动员')
('http://movie.mtime.com/223975/', '致青春·原来你还在这里')
('http://movie.mtime.com/230506/', '青蛙王国之冰冻大冒险')
('http://movie.mtime.com/131848/', '辛亥革命')
('http://movie.mtime.com/10604/', '风云雄霸天下')
('http://movie.mtime.com/211904/', '像素大战')
('http://movie.mtime.com/226435/', '悟空传')
('http://movie.mtime.com/12103/', '我的父亲母亲')
('http://movie.mtime.com/10404/', '大红灯笼高高挂')
('http://movie.mtime.com/152197/', '大武当之天地密码')
('http://movie.mtime.com/75819/', '大搜查')
('http://movie.mtime.com/217131/', '万物生长')
('http://movie.mtime.com/195922/', '环太平洋：雷霆再起')
('http://movie.mtime.com/230788/', '前任3：再见前任')
('http://movie.mtime.com/26695/', '孔雀')
('http://movie.mtime.com/156176/', '魁拔Ⅱ')
('http://movie.mtime.com/24673/', '千里走单骑')
('http://movie.mtime.com/206155/', '龙之谷：破晓奇兵')
('http://movie.mtime.com/210379/', '疯狂72小时')
('http://movie.mtime.com/44840/', '立春')
('http://movie.mtime.com/132280/', '午夜心跳')
('http://movie.mtime.com/94116/', '高考1977')
('http://movie.mtime.com/237182/', '捉妖记2')
('http://movie.mtime.com/129288/', '大明猩')
('http://movie.mtime.com/129495/', '不再让你孤单')
('http://movie.mtime.com/239556/', '缝纫机乐队')
('http://movie.mtime.com/209502/', '赛尔号大电影4：圣魔之战')
('http://movie.mtime.com/209509/', '我的早更女友')
('http://movie.mtime.com/174947/', '边境风云')
('http://movie.mtime.com/33229/', '姨妈的后现代生活')
('http://movie.mtime.com/208879/', '四大名捕大结局')
('http://movie.mtime.com/149581/', '危险关系')
('http://movie.mtime.com/11955/', '天地英雄')
('http://movie.mtime.com/11300/', '没完没了')
('http://movie.mtime.com/209714/', '露水红颜')
('http://movie.mtime.com/116427/', '嘻游记')
